Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  28   6   1   1   0   5   0   3   0   0   1  .214  .324  .321 
Cy Acosta          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Hank Aguirre       L   7   1   0   0   0   3   0   0   0   0   0  .143  .400  .143 
Jack Aker          R  19   2   0   0   0   0   0   2   1   0   0  .105  .150  .105 
Vic Albury         L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Doyle Alexander    R  11   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Lloyd Allen        R   6   1   0   0   0   0   0   1   0   0   1  .167  .143  .167 
Bob Allen          L   4   2   0   0   1   3   2   0   0   0   0  .500  .714 1.250 
Jim Archer         L  15   7   1   1   1   0   0   0   0   0   0  .467  .467  .867 
Steve Arlin        R   5   3   1   0   0   2   0   0   0   0   0  .600  .714  .800 
Gerry Arrigo       L   6   3   0   1   0   2   0   0   0   0   0  .500  .625  .833 
Luis Arroyo        L  10   1   0   0   0   3   0   0   0   0   0  .100  .308  .100 
Rick Austin        L   7   4   0   0   2   2   1   0   0   0   0  .571  .667 1.429 
Stan Bahnsen       R  38  16   2   0   1   4   0   4   0   0   1  .421  .465  .553 
Dave Baldwin       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Steve Barber       L  52  14   3   0   2  13   2   6   0   0   0  .269  .415  .442 
Norm Bass          R   7   4   0   0   1   0   0   0   0   0   0  .571  .571 1.000 
Frank Baumann      L  65  18   8   0   1   5   0   0   1   0   0  .277  .338  .446 
Charlie Beamon     R   5   0   0   0   0   1   0   0   1   0   0  .000  .286  .000 
Fred Beene         R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bo Belinsky        L   4   2   0   0   0   2   2   0   0   0   0  .500  .667  .500 
Gary Bell          R  76  15   1   0   3   9   1   5   0   0   1  .197  .279  .329 
Dennis Bennett     L  16   3   0   0   2   1   1   4   0   0   0  .188  .235  .563 
Frank Bertaina     L  13   6   2   0   0   7   0   0   0   0   0  .462  .650  .615 
Jim Bibby          R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Doug Bird          R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Charlie Bishop     R  10   4   2   0   0   1   0   0   0   0   0  .400  .455  .600 
Gary Blaylock      R   4   2   1   0   0   0   0   2   0   0   0  .500  .500  .750 
Vida Blue          L  31  12   0   0   4   5   1   3   0   0   0  .387  .472  .774 
Bert Blyleven      R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
Mike Blyzka        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Bobby Bolin        R  13   3   2   0   0   1   0   3   0   0   0  .231  .286  .385 
Dick Bosman        R  33  10   1   2   1   5   0   2   1   0   0  .303  .410  .545 
Dave Boswell       R  41  15   2   0   2   4   0   5   0   0   0  .366  .422  .561 
Jim Bouton         R  30  11   1   1   3   5   1   2   0   0   0  .367  .457  .767 
Ted Bowsfield      L  25   8   4   1   1   2   0   0   0   0   0  .320  .370  .680 
Cloyd Boyer        R   6   0   0   0   0   2   0   2   0   0   0  .000  .250  .000 
Gene Brabender     R  19   6   1   0   2   2   1   3   0   0   0  .316  .381  .684 
Tom Bradley        R   7   2   1   0   0   1   0   1   0   0   0  .286  .375  .429 
Bucky Brandon      R  11   2   1   0   0   2   0   1   0   0   0  .182  .308  .273 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Brett          L  11   3   1   0   1   1   0   0   1   0   0  .273  .385  .636 
Tom Brewer         R 104  35   0   1   9   5   2   9   0   0   0  .337  .367  .615 
Marshall Bridges   L   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
Pete Broberg       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dick Brodowski     R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Jim Bronstad       R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Hal Brown          R  54  16   3   0   1   3   0   2   0   1   0  .296  .333  .407 
Jackie Brown       R  21   2   0   0   1   2   1   5   0   0   0  .095  .174  .238 
George Brunet      L  61  16   3   0   2  11   0  10   0   0   0  .262  .375  .410 
Wally Bunker       R  33   7   2   0   2   3   0   2   0   0   1  .212  .270  .455 
Bill Burbach       R  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
Larry Burchart     R   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Lew Burdette       R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Tom Burgmeier      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Wally Burnette     R  12   2   0   0   0   1   0   3   0   0   0  .167  .231  .167 
Pete Burnside      L   7   2   0   0   1   1   0   1   0   0   0  .286  .375  .714 
Moe Burtschy       R  12   6   1   1   1   1   0   0   0   0   0  .500  .538 1.000 
Steve Busby        R  19   4   1   0   0   1   0   6   0   0   0  .211  .250  .263 
Tom Buskey         R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Bill Butler        L  12   3   1   0   0   3   0   1   0   0   0  .250  .400  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Buzhardt      R  30   8   2   0   0   1   0   3   0   0   0  .267  .290  .333 
Bud Byerly         R  14   6   0   0   1   0   0   1   0   0   0  .429  .429  .643 
Harry Byrd         R  15   4   1   0   1   3   0   3   0   0   2  .267  .350  .533 
Tommy Byrne        L  24   9   2   1   1   1   0   4   0   0   0  .375  .400  .667 
Bill Campbell      R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Cisco Carlos       R   7   2   1   0   0   3   0   0   0   0   0  .286  .500  .429 
Jerry Casale       R  14   4   1   0   0   3   0   1   0   0   0  .286  .412  .357 
Art Ceccarelli     L  14   5   2   0   1   1   1   1   0   0   0  .357  .400  .714 
Bob Chakales       R  18   4   0   0   0   2   0   1   0   0   0  .222  .300  .222 
Bill Champion      R   3   1   0   1   0   1   0   0   0   0   0  .333  .500 1.000 
Dean Chance        R  95  27   4   0   2   6   0  16   0   1   0  .284  .327  .389 
Tom Cheney         R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Al Cicotte         R  14   5   1   0   2   1   0   2   0   1   0  .357  .400  .857 
Pete Cimino        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Galen Cisco        R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Reggie Cleveland   R  18   6   1   0   4   4   1   2   0   1   0  .333  .455 1.056 
Tex Clevenger      R  54  17   6   0   3   2   1   7   0   0   1  .315  .333  .593 
David Clyde        L   5   3   3   0   0   0   0   1   0   0   0  .600  .600 1.200 
Jim Coates         R  19   5   0   0   0   1   0   1   0   0   0  .263  .300  .263 
Vince Colbert      R   4   0   0   0   0   1   0   0   1   0   0  .000  .333  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Colborn        R  14   2   0   0   1   1   0   1   1   0   0  .143  .250  .357 
Joe Coleman        R  38  12   4   0   0   5   0   8   0   0   0  .316  .395  .421 
Joe Coleman        R  14   3   0   0   0   0   0   1   0   1   0  .214  .214  .214 
Rip Coleman        L  13   7   2   0   0   2   0   1   0   0   1  .538  .563  .692 
Jackie Collum      L   4   2   2   0   0   1   0   0   0   0   0  .500  .600 1.000 
Gene Conley        R  29  13   2   0   1   2   0   1   0   0   0  .448  .484  .621 
Ed Connolly        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Sandy Consuegra    R  20   7   2   0   0   0   0   0   0   0   0  .350  .350  .450 
Ray Corbin         R  11   5   3   0   0   1   0   0   0   0   0  .455  .500  .727 
Casey Cox          R  27   5   1   0   0   1   1   1   1   0   0  .185  .241  .222 
Jerry Crider       R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Jack Crimian       R   8   4   1   1   0   0   0   0   1   0   0  .500  .556  .875 
Mike Cuellar       L  65  15   3   1   1   8   0   5   0   1   1  .231  .311  .354 
Jack Cullen        R   5   1   0   0   0   2   1   0   0   0   0  .200  .429  .200 
Ray Culp           R  22   4   1   0   0   3   0   4   0   0   0  .182  .280  .227 
George Culver      R   2   2   0   1   1   2   0   0   0   0   0 1.000 1.000 3.500 
John Curtis        L  15   9   1   0   2   0   0   0   0   0   0  .600  .600 1.067 
Bill Dailey        R   9   4   0   0   0   1   0   0   0   0   0  .444  .500  .444 
Bruce Dal Canton   R  11   2   0   0   0   1   0   1   0   0   0  .182  .250  .182 
Bud Daley          L  45  20   5   0   2   4   0   2   0   0   0  .444  .490  .689 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bennie Daniels     R  35   9   0   1   2   3   0   2   0   0   1  .257  .308  .486 
Bob Davis          R   6   4   2   0   0   0   0   0   0   0   0  .667  .667 1.000 
Dave DeBusschere   R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Joe Decker         R  10   4   0   0   1   2   0   0   0   0   0  .400  .500  .700 
Ike Delock         R  56  17   4   1   3   6   0   2   0   0   0  .304  .371  .571 
Jim Derrington     L   6   2   0   0   0   1   0   0   0   0   1  .333  .375  .333 
Jim Dickson        R   5   3   1   0   1   1   0   1   0   0   0  .600  .667 1.400 
Murry Dickson      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Bill Dillman       R   7   4   3   0   0   0   0   1   0   0   0  .571  .571 1.000 
Art Ditmar         R  79  31   3   1   5   7   0   5   0   0   0  .392  .442  .646 
Sonny Dixon        R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Chuck Dobson       R  39  11   1   0   3   6   0   4   0   0   0  .282  .378  .538 
Pat Dobson         R  25   8   0   0   1   5   0   3   0   0   0  .320  .433  .440 
Jim Donohue        R   9   3   0   0   1   0   0   0   0   0   0  .333  .333  .667 
Dick Donovan       R 115  44   9   0   5   9   2   6   0   0   1  .383  .424  .591 
Fritz Dorish       R  18   6   2   1   1   2   1   3   0   0   0  .333  .400  .722 
Al Downing         L  62  18   5   1   3   9   0   6   0   0   2  .290  .370  .548 
Moe Drabowsky      R  29  10   1   1   2   3   0   2   0   0   0  .345  .406  .655 
Dick Drago         R  40  14   2   1   0   4   0   3   0   0   0  .350  .409  .450 
Jim Duckworth      R   8   3   1   0   0   2   0   1   0   0   0  .375  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Duliba         R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Steve Dunning      R   3   0   0   0   0   3   0   1   0   0   0  .000  .500  .000 
Ryne Duren         R  23   3   0   0   0   0   0   5   0   0   1  .130  .125  .130 
Arnold Earley      L  16   6   2   0   1   1   0   0   0   0   0  .375  .412  .688 
Paul Edmondson     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Dick Ellsworth     L  11   4   0   0   0   1   0   0   0   0   0  .364  .417  .364 
Chuck Estrada      R  38  11   2   0   3   3   0   6   1   0   0  .289  .357  .579 
Ed Farmer          R   8   1   1   0   0   1   0   3   0   0   1  .125  .200  .250 
Bob Feller         R  13   5   0   1   1   4   0   1   0   0   0  .385  .529  .769 
Don Ferrarese      L  17   5   0   0   0   3   0   2   0   0   0  .294  .400  .294 
Rollie Fingers     R  14   3   0   0   0   2   0   4   0   0   0  .214  .313  .214 
Bill Fischer       R  38   8   2   0   0   4   0   1   1   1   0  .211  .302  .263 
Eddie Fisher       R  41  11   1   0   3   9   0   5   0   0   0  .268  .400  .512 
Jack Fisher        R  44  16   4   2   2   6   0   3   0   0   0  .364  .440  .682 
Al Fitzmorris      R  13   4   3   0   0   3   0   1   0   0   0  .308  .438  .538 
Whitey Ford        L 112  38   3   3   3  16   1   5   0   0   1  .339  .419  .500 
Mike Fornieles     R  60  17   5   0   2   6   0   5   0   1   0  .283  .348  .467 
Terry Forster      L  13   3   0   0   1   2   1   1   0   0   1  .231  .313  .462 
Alan Foster        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Steve Foucault     R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Art Fowler         R  13   0   0   0   0   1   1   2   0   0   0  .000  .071  .000 
Marion Fricano     R  14   3   1   0   0   1   0   0   0   0   0  .214  .267  .286 
Bob Friend         R   4   4   0   0   0   0   0   0   0   0   0 1.000 1.000 1.000 
Frank Funk         R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
John Gabler        R   6   2   0   0   0   4   0   0   0   0   0  .333  .600  .333 
Mike Garcia        R  71  21   2   3   3   8   1   9   0   0   0  .296  .367  .535 
Rob Gardner        L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Wayne Garland      R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Mike Garman        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Ned Garver         R  26  12   2   1   1   3   1   0   0   0   0  .462  .517  .731 
Aubrey Gatewood    R   8   2   1   0   1   0   0   0   0   0   0  .250  .250  .750 
John Gelnar        R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Bill Gogolewski    R  11   3   1   0   0   2   1   1   0   0   0  .273  .385  .364 
Dave Goltz         R   8   1   0   0   0   0   0   2   0   0   2  .125  .100  .125 
Tom Gorman         R  35   9   0   0   3   2   0   2   0   1   0  .257  .297  .514 
Mudcat Grant       R  71  24   0   2   4  10   1   9   0   0   2  .338  .410  .563 
Johnny Gray        R   6   2   0   0   1   2   0   0   0   0   0  .333  .500  .833 
Ted Gray           L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Eli Grba           R  28  10   0   1   3   6   0   3   0   1   0  .357  .471  .750 
Hal Griggs         R  25   7   0   0   2   4   0   5   0   0   1  .280  .367  .520 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Grim           R  46  12   2   1   1   5   0   1   0   0   0  .261  .333  .413 
Ross Grimsley      L  15   8   1   0   1   3   0   2   0   0   0  .533  .611  .800 
Connie Grob        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Joe Grzenda        L   6   1   0   0   0   0   0   1   1   0   1  .167  .250  .167 
Larry Gura         L   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Harvey Haddix      L   4   3   1   0   0   1   1   0   0   0   0  .750  .800 1.000 
Dick Hall          R  37  11   3   0   3   2   0   4   0   0   1  .297  .325  .622 
Tom Hall           L   4   3   1   0   0   2   0   0   0   0   0  .750  .833 1.000 
Dave Hamilton      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jack Hamilton      R  11   2   0   0   0   0   0   1   0   0   0  .182  .182  .182 
Steve Hamilton     L  18   7   0   0   1   4   1   1   0   0   0  .389  .500  .556 
